,出现次数,标签占比,标签召回率,标签查准率,统计时间段
accept,104159.0,0.9715690206796198,0.9054,0.9844,2022-04-25~2022-05-09
禁销/色情低俗/色情图片,737.0,0.006874551102073558,0.0,0.0,2022-04-25~2022-05-09
禁销/宗教/十字架,471.0,0.004393369835924893,0.5775,0.1082,2022-04-25~2022-05-09
禁销/宗教/酒瓶,400.0,0.003731099648343858,0.3325,0.2681,2022-04-25~2022-05-09
禁销/宗教/骷髅头,227.0,0.0021173990504351394,0.0,0.0,2022-04-25~2022-05-09
禁销,136.0,0.0012685738804369118,0.0,0.0,2022-04-25~2022-05-09
禁销/宗教/六芒星,113.0,0.00105403565065714,0.7522,0.4315,2022-04-25~2022-05-09
禁销/宗教/猪,107.0,0.000998069155931982,0.5514,0.298,2022-04-25~2022-05-09
禁销/宗教/圣诞树,94.0,0.0008768084173608067,0.7553,0.3198,2022-04-25~2022-05-09
禁销/宗教/圣诞老人,75.0,0.0006995811840644734,0.4533,0.5862,2022-04-25~2022-05-09
禁销/宗教/香烟,70.0,0.0006529424384601752,0.1857,0.2653,2022-04-25~2022-05-09
禁销/电子类违禁产品/监视窃听,58.0,0.0005410094490098594,0.0,0.0,2022-04-25~2022-05-09
禁销/色情低俗/情趣内衣无真人,58.0,0.0005410094490098594,0.0,0.0,2022-04-25~2022-05-09
禁销/易燃易爆品,56.0,0.0005223539507681401,0.0,0.0,2022-04-25~2022-05-09
禁销/宗教,55.0,0.0005130262016472804,0.0,0.0,2022-04-25~2022-05-09
禁销/色情低俗/情趣内衣,45.0,0.000419748710438684,0.0,0.0,2022-04-25~2022-05-09
禁销/宗教/南瓜灯,44.0,0.0004104209613178244,0.7955,0.5385,2022-04-25~2022-05-09
违禁/枪支弹药/枪支,30.0,0.00027983247362578934,0.0,0.0,2022-04-25~2022-05-09
禁销/电子类违禁产品/电池相关,30.0,0.00027983247362578934,0.0,0.0,2022-04-25~2022-05-09
禁销/宗教/真人头像,28.0,0.00026117697538407007,0.0,0.0,2022-04-25~2022-05-09
禁销/色情低俗/情趣用品,25.0,0.00023319372802149113,0.0,0.0,2022-04-25~2022-05-09
禁销/宗教/法蒂玛之手,23.0,0.00021453822977977185,0.9565,0.0643,2022-04-25~2022-05-09
禁销/宗教/恶魔之眼,20.0,0.00018655498241719291,0.6,0.02,2022-04-25~2022-05-09
违禁/管制刀具,17.0,0.00015857173505461397,0.5294,0.0039,2022-04-25~2022-05-09
涉政,17.0,0.00015857173505461397,0.0,0.0,2022-04-25~2022-05-09
侵权,17.0,0.00015857173505461397,0.0,0.0,2022-04-25~2022-05-09
禁销/宗教/佛教相关,15.0,0.00013991623681289467,0.5333,0.0748,2022-04-25~2022-05-09
禁销/医疗器械,11.0,0.0001026052403294561,0.0,0.0,2022-04-25~2022-05-09
禁销/毒品/大麻,10.0,9.327749120859646e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/香港管制,7.0,6.529424384601752e-05,0.0,0.0,2022-04-25~2022-05-09
违禁/枪支弹药/弹药,5.0,4.663874560429823e-05,0.0,0.0,2022-04-25~2022-05-09
违禁/枪支弹药,5.0,4.663874560429823e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/色情低俗/性感图片,5.0,4.663874560429823e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/电子类违禁产品/存储设备,5.0,4.663874560429823e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/安全隐患类,3.0,2.7983247362578937e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/宗教/伊斯兰教相关,3.0,2.7983247362578937e-05,0.3333,0.3333,2022-04-25~2022-05-09
禁销/药品,3.0,2.7983247362578937e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/赌博,3.0,2.7983247362578937e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/色情低俗,2.0,1.8655498241719292e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/药品/药,2.0,1.8655498241719292e-05,0.0,0.0,2022-04-25~2022-05-09
禁销/危险化学品类,1.0,9.327749120859646e-06,0.0,0.0,2022-04-25~2022-05-09
禁销/电子类违禁产品/激光设备,1.0,9.327749120859646e-06,0.0,0.0,2022-04-25~2022-05-09
禁销/电子类违禁产品/手机,1.0,9.327749120859646e-06,0.0,0.0,2022-04-25~2022-05-09
禁销/电子类违禁产品,1.0,9.327749120859646e-06,0.0,0.0,2022-04-25~2022-05-09
禁销/暴力血腥/血腥,1.0,9.327749120859646e-06,0.0,0.0,2022-04-25~2022-05-09
