text	487	51	495	113
text	496	51	511	113
text	512	51	527	113
text	528	51	543	113
text	544	51	559	113
text	560	51	575	113
text	576	51	591	113
text	592	51	607	113
text	608	51	623	113
text	624	51	639	113
text	640	51	655	113
text	656	51	671	113
text	672	51	687	113
text	688	51	698	113
text	487	151	495	206
text	496	151	511	206
text	512	151	527	206
text	528	151	543	206
text	544	151	559	206
text	560	151	575	206
text	576	151	591	206
text	592	151	607	206
text	608	151	623	206
text	624	151	639	206
text	640	151	655	206
text	656	151	671	206
text	672	151	687	206
text	688	151	703	206
text	704	151	719	206
text	720	151	735	206
text	736	151	751	206
text	752	151	767	206
text	768	151	783	206
text	784	151	799	206
text	800	151	815	206
text	816	151	831	206
text	832	151	847	206
text	848	151	863	206
text	864	151	879	206
text	880	151	895	206
text	896	151	911	206
text	912	151	928	206
text	488	227	495	276
text	496	227	511	276
text	512	227	527	276
text	528	227	543	276
text	544	227	559	276
text	560	227	575	276
text	576	227	591	276
text	592	227	607	276
text	608	227	623	276
text	624	227	639	276
text	640	227	655	276
text	656	227	671	276
text	672	227	687	276
text	688	227	703	276
text	704	227	719	276
text	720	227	735	276
text	736	227	751	276
text	752	227	767	276
text	768	227	783	276
text	784	227	799	276
text	800	227	815	276
text	816	227	831	276
text	832	227	847	276
text	848	227	863	276
text	864	227	879	276
text	880	227	895	276
text	896	227	911	276
text	912	227	928	276
text	488	275	495	318
text	496	275	511	318
text	512	275	527	318
text	528	275	543	318
text	544	275	559	318
text	560	275	575	318
text	576	275	591	318
text	592	275	607	318
text	608	275	623	318
text	624	275	639	318
text	640	275	656	318
text	488	345	495	395
text	496	345	511	395
text	512	345	527	395
text	528	345	543	395
text	544	345	559	395
text	560	345	575	395
text	576	345	591	395
text	592	345	607	395
text	608	345	614	395
text	488	438	495	484
text	496	438	511	484
text	512	438	527	484
text	528	438	543	484
text	544	438	559	484
text	560	438	575	484
text	576	438	591	484
text	592	438	607	484
text	608	438	623	484
text	624	438	639	484
text	640	438	655	484
text	656	438	671	484
text	672	438	687	484
text	688	438	703	484
text	704	438	719	484
text	720	438	735	484
text	736	438	751	484
text	752	438	761	484
text	487	510	495	550
text	496	510	511	550
text	512	510	527	550
text	528	510	543	550
text	544	510	559	550
text	560	510	575	550
text	576	510	591	550
text	592	510	607	550
text	608	510	623	550
text	624	510	639	550
text	640	510	655	550
text	656	510	671	550
text	672	510	677	550
